job_title,company_name,contract_type,niveau_etude,secteur,teletravail,experience,salaire,skills,city,department
Ingénieur Développement Logiciel H/F,LR Technologies Groupe,CDI,Bac +5,Secteur informatique • ESN,True,7.0,47500.0,['python'],Pacy-sur-Eure,27
Ingénieur Développement Software H/F,Randstad,Intérim,Bac +5,,True,1.0,43653.0,"['mysql', 'rest', 'python']",Crespin,59
Ingénieur Développement Logiciel H/F,Expleo,CDI,,,False,,43653.0,"['jenkins', 'linux', 'c/c++', 'windows', 'python', 'java', 'postgresql']",Toulouse,31
System Software Development Engineer R&D - DevOps M - F H/F,Eviden,CDI,,,False,,52500.0,"['docker', 'jenkins', 'linux', 'devops', 'kubernetes', 'testing', 'python', 'git']",Échirolles,38
Ingénieur Logiciels H/F,Nextgen RH,CDI,Bac +5,,False,,50000.0,"['perl', 'linux']",Mérignac,33
Ingénieur Développement Logiciel H/F,Hays,CDI,"Bac +3, Bac +4",Secteur informatique • ESN,False,1.0,47500.0,"['windows', 'linux', 'python']",Villeneuve-lès-Bouloc,31
Ingénieur en Développement Logiciels H/F,Consulting Technical Support,CDI,Bac +5,Services aux Entreprises,True,1.0,52500.0,"['mongodb', 'junit', 'python', 'python', 'mongodb', 'c/c++', 'java']",Clamart,92
Ingénieur en Développement Logiciels H/F,Consulting Technical Support,CDI,Bac +5,Services aux Entreprises,True,1.0,52500.0,"['java', 'ruby', 'python', 'cassandra', 'splunk', 'data engineering']",Clamart,92
Ingénieur en Développement Logiciel H/F,Human Immobilier,CDI,"Bac +3, Bac +4",,False,1.0,39260.0,['devops'],Bordeaux,33
Ingénieur Logiciel H/F,Altim,CDI,,,False,,43653.0,"['php', 'scala', 'c#', 'java']",Toulouse,31
Ingenieur Developpement Logiciel H/F,JL Executive,CDI,,,False,,44000.0,"['c/c++', 'java', 'sql', 'node.js', 'python', 'java', 'php', '.net']",Pessac,33
Ingénieur Software H/F,Prime Engineering,CDI,Bac +5,Services aux Entreprises,False,7.0,43500.0,"['python', 'kotlin', 'c/c++', 'python', 'python', 'kotlin']",Isère,38
Architecte Applicatif H/F,Eviden,CDI,Bac +5,Secteur informatique • ESN,True,7.0,43653.0,['java'],Bezons,95
Ingénieur Software H/F,Segula Technologies,CDI,,,False,,59500.0,['big data'],Strasbourg,67
Ingénieur Développement Logiciel H/F,GENIPLURI,CDI,Bac +5,Services aux Entreprises,True,7.0,52500.0,"['c/c++', 'git', 'python', 'c/c++', 'python', 'swift', 'ssh']",Saint-Égrève,38
Architecte Applicatif H/F,Atos,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['oracle', 'big data', 'linux', 'rest', 'javascript', 'windows', 'angular', 'java', 'kotlin', 'postgresql', 'apache']",Bezons,95
Architecte Applicatif - Design Authority H/F,Crédit Agricole Assurances,CDI,"Bac +3, Bac +4",,True,7.0,43653.0,"['c#', 'prometheus', 'python', 'prometheus']",Paris,75
Ingénieur Logiciel R&D H/F,AXA en France,CDI,Bac +5,,True,,43653.0,"['data science', 'aws']",Paris,75
Ingénieur Développement Logiciel C++ H/F,L'Industrie recrute,CDI,Bac +5,,True,1.0,43653.0,"['python', 'linux', 'devops', 'windows', 'git']",Igny,91
Ingénieur Développement Logiciel C++ H/F,L'Industrie recrute,CDI,Bac +5,,True,1.0,43653.0,['windows'],Igny,91
Ingénieur Développement Software et Cybersécurité H/F,LR Technologies Groupe,CDI,Bac +5,Services aux Entreprises,False,7.0,43653.0,"['ruby', 'mongodb', 'php', 'python', 'ruby', 'kotlin', 'node.js', 'flask', 'dart', 'ruby']",Rambouillet,78
CDI - Ingénieur Génie Logiciel H/F,Naval Group,CDI,Bac +5,,True,1.0,41250.0,"['rest', 'angular', 'java', 'spring', 'css']",Toulon,83
Ingénieur Développement Logiciel C++ H/F,Groupe ADF,CDI,Bac +5,,False,1.0,43653.0,"['dart', 'artificial intelligence', 'ruby', 'django', 'ruby', 'python', 'mysql', 'c/c++', 'computer vision', 'prometheus', 'perl']",Launaguet,31
Ingénieur Développement Software CDI H/F,CENTUM T&S,CDI,,,False,,61500.0,"['kotlin', 'cassandra', 'nginx', 'php', 'kubernetes']",Lyon,69
Ingénieur Software Autosar H/F,Bertrandt,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['react', 'python', 'spring', 'devops', 'google cloud', 'python']",Vélizy-Villacoublay,78
Ingénieur Développement Logiciel Ihm H/F,DEMETER,CDI,Bac +5,Services aux Entreprises,False,1.0,50000.0,"['java', 'php', 'kotlin', 'swift', 'php', 'azure', 'python']",Cergy,95
CDI - Ingénieur Logiciel H/F,Randstad Consulting,CDI,Bac +5,,False,7.0,43653.0,"['python', 'c/c++', 'css']",Toulon,83
Ingénieur Logiciel Applicatif H/F,DAVRICOURT,CDI,,,False,,43653.0,"['jenkins', 'angular']",Saint-Fons,69
Ingénieur Développement Logiciel Ferroviaire H/F,LR Technologies,CDI,Bac +5,Secteur informatique • ESN,True,1.0,43653.0,"['python', 'python']",Massy,91
Architecte Applicatif Junior H/F,INFOGENE,CDI,Bac +5,Secteur informatique • ESN,True,1.0,57500.0,"['git', 'python', 'kibana', 'tensorflow', 'cassandra', 'express.js', 'dart', 'hibernate', 'java']",Neuilly-sur-Seine,92
Ingénieur Logiciel R&D H/F,Axa group operations,CDI,Bac +5,,False,,43653.0,"['data science', 'aws']",Paris,75
Ingénieur Logiciel C++ H/F,CS Group,CDI,,,False,,43653.0,"['ibm cloud', 'oracle', 'python']",Fontaine,38
Ingénieur Développement Logiciel C++ H/F,Seyos,CDI,Bac +5,Secteur informatique • ESN,True,1.0,55000.0,"['windows', 'linux']",Igny,91
Ingénieur Logiciel Saas H/F,Adsearch,CDI,Bac +5,Services aux Entreprises,False,1.0,55000.0,"['react', 'mysql', 'angular', 'java', 'typescript']",Nantes,44
Ingénieur Logiciel Applicatif H/F,Akkodis Talent,CDI,Bac +5,Services aux Entreprises,False,7.0,43653.0,"['devops', 'azure', 'windows', 'python', 'postgresql']",Lisses,91
Ingénieur Développement Logiciel H/F,LR Technologies Groupe,CDI,Bac +5,Secteur informatique • ESN,False,1.0,43653.0,"['dart', 'mysql', 'graphql']",Beauvais,60
Stage - Ingénieur Logiciel H/F,Bertrandt,Stage,Bac +5,Secteur informatique • ESN,True,7.0,43653.0,['python'],Vélizy-Villacoublay,78
CDI - Ingénieur Développement Logiciel H/F,Randstad Consulting,CDI,,,False,,43653.0,['java'],Toulon,83
Apprenti Ingénieur Développement Logiciel H/F,Safran,Alternance,Bac +5,,True,7.0,13464.0,"['windows', 'linux', 'devops']",Massy,91
Stage - Ingénieur Logiciel H/F,Expleo,Stage,Bac +5,Secteur informatique • ESN,False,7.0,43653.0,['python'],Grenoble,38
Alternant Ingénieur Logiciel H/F,Hensoldt Nexeya France,Alternance,,,False,,13464.0,"['sql', 'graphql', 'kotlin', 'big data', 'python', 'python', 'kotlin']",Six-Fours-les-Plages,83
Ingénieur Etude et Développement Logiciel en Neutronique H/F,CEA,CDI,Bac +5,,True,,43653.0,['java'],Bruyères-le-Châtel,91
Stage - Ingénieur Machine Learning H/F,Exotec,CDI,,,False,,40000.0,"['deep learning', 'machine learning', 'python', 'pytorch']",Lille,59
Alternance - Ingénieur Développement Logiciel H/F,Amplitude,Alternance,Bac +5,,False,7.0,13464.0,['windows'],Pessac,33
Ingénieur Développement Logiciel Bsw H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['rails', 'java', 'mongodb']",Paris,75
Ingénieur Développement Logiciel - Aérospatial H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['css', 'kotlin', 'python', 'perl', 'python', 'python']",Caen,14
Ingénieur Logiciel en Mécatronique H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['react native', 'ruby', 'python', 'cassandra', 'vue.js', 'cassandra']",Paris,75
Ingénieur Logiciel en Mécatronique H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['cassandra', 'mysql', 'kotlin', 'git', 'vuejs', 'android', 'css']",Paris,75
Ingénieur Développement Logiciel Bsw H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['git', 'angular', 'rest', 'jenkins']",Paris,75
Ingénieur Logiciel DevOps H/F,Astek,CDI,,,False,,43653.0,"['jenkins', 'docker', 'devops', 'kubernetes']",Grenoble,38
Ingenieur Developpement Logiciel Cfd H/F,Onera,CDI,Bac +5,,True,1.0,43653.0,"['java', 'c/c++', 'graphql', 'java', 'scikit-learn', 'circleci', 'cassandra', 'oracle', 'java']",Châtillon,92
Ingénieur Logiciel Informatique H/F,Onera,CDI,Bac +5,,True,1.0,50000.0,['devops'],Avrieux,73
Ingénieur Génie Logiciel - Lead Developer H/F,Naval Group,CDI,,,False,,62500.0,"['rest', 'angular', 'java', 'spring', 'css']",Toulon,83
Ingénieur Logiciels H/F,S&You,CDI,,,False,,61500.0,['oracle'],La Talaudière,42
Ingénieur Logiciels H/F,S&You,CDI,Bac +5,Services aux Entreprises,True,7.0,47500.0,"['jira', 'git']",Toulouse,31
Expert Logiciel Paie H/F,In Extenso,CDI,,,False,,43653.0,"['dart', 'data science', 'express.js', 'php', 'spring']",Lyon 2e,69
Architecte Applicatif H/F,Omniciel,CDI,Bac +5,Secteur informatique • ESN,True,7.0,64500.0,"['python', 'php', 'sql', 'deep learning', 'python', 'java', 'microservices']",Aix-en-Provence,13
Ingénieur Développement Logiciel R&D H/F,Mercato de l'emploi,CDI,,,False,,43653.0,"['laravel', 'python', 'cassandra', 'java', 'typescript', 'ruby', 'c#', 'ibm cloud', 'php', 'ruby']",La Ciotat,13
Ingénieur en Développement de Logiciels H/F,Altelios Technology Group,CDI,Bac +5,Secteur informatique • ESN,False,1.0,53000.0,['c#'],Buc,78
